MES/AÑO,TIPO CLIENTES,PRODUCTO,% TIENDAS IMPACTADAS
201808,CLIENTES PEQUEÑOS,A16,4
201808,CLIENTES PEQUEÑOS,A17,10
201808,CLIENTES PEQUEÑOS,A18,81
201808,CLIENTES PEQUEÑOS,A19,66
201808,CLIENTES PEQUEÑOS,A20,61
201808,CLIENTES PEQUEÑOS,A21,66
201808,CLIENTES PEQUEÑOS,A22,39
201808,CLIENTES PEQUEÑOS,A23,71
201809,CLIENTES GRANDES,A1,94
201809,CLIENTES GRANDES,A2,100
201809,CLIENTES GRANDES,A3,88
201809,CLIENTES GRANDES,A4,100
201809,CLIENTES GRANDES,A5,94
201809,CLIENTES GRANDES,A6,86
201809,CLIENTES GRANDES,A7,88
201809,CLIENTES GRANDES,A8,99
201809,CLIENTES GRANDES,A9,90
201809,CLIENTES GRANDES,A10,93
201809,CLIENTES GRANDES,A11,93
201809,CLIENTES GRANDES,A12,94
201809,CLIENTES GRANDES,A13,94
201809,CLIENTES GRANDES,A14,97
201809,CLIENTES GRANDES,A15,92
201809,CLIENTES GRANDES,A16,86
201809,CLIENTES GRANDES,A17,79
201809,CLIENTES GRANDES,A18,94
201809,CLIENTES GRANDES,A19,100
201809,CLIENTES GRANDES,A20,100
201809,CLIENTES GRANDES,A21,94
201809,CLIENTES GRANDES,A22,90
201809,CLIENTES GRANDES,A23,100
201809,CLIENTES GRANDES,A24,92
201809,CLIENTES PEQUEÑOS,A1,47
201809,CLIENTES PEQUEÑOS,A2,27
201809,CLIENTES PEQUEÑOS,A3,23
201809,CLIENTES PEQUEÑOS,A4,69
201809,CLIENTES PEQUEÑOS,A5,33
201809,CLIENTES PEQUEÑOS,A6,4
201809,CLIENTES PEQUEÑOS,A7,4
201809,CLIENTES PEQUEÑOS,A8,22
201809,CLIENTES PEQUEÑOS,A9,30
201809,CLIENTES PEQUEÑOS,A10,30
201809,CLIENTES PEQUEÑOS,A11,35
201809,CLIENTES PEQUEÑOS,A14,40
201809,CLIENTES PEQUEÑOS,A15,7
201809,CLIENTES PEQUEÑOS,A16,4
201809,CLIENTES PEQUEÑOS,A17,9
201809,CLIENTES PEQUEÑOS,A18,81
201809,CLIENTES PEQUEÑOS,A19,69
201809,CLIENTES PEQUEÑOS,A20,62
201809,CLIENTES PEQUEÑOS,A21,66
201809,CLIENTES PEQUEÑOS,A22,38
201809,CLIENTES PEQUEÑOS,A23,72
201810,CLIENTES GRANDES,A1,94
201810,CLIENTES GRANDES,A2,100
201810,CLIENTES GRANDES,A3,84
201810,CLIENTES GRANDES,A4,100
201810,CLIENTES GRANDES,A5,94
201810,CLIENTES GRANDES,A6,84
201810,CLIENTES GRANDES,A7,86
201810,CLIENTES GRANDES,A8,100
201810,CLIENTES GRANDES,A9,89
