MES/AÑO,TIPO CLIENTES,PRODUCTO,INVERSION
201809,CLIENTES PEQUEÑOS,A4,0.2856
201809,CLIENTES PEQUEÑOS,A5,0.27
201809,CLIENTES PEQUEÑOS,A6,0.2072
201809,CLIENTES PEQUEÑOS,A7,0.2158
201809,CLIENTES PEQUEÑOS,A8,0.3657
201809,CLIENTES PEQUEÑOS,A9,0.1776
201809,CLIENTES PEQUEÑOS,A10,0.2617
201809,CLIENTES PEQUEÑOS,A11,0.2793
201809,CLIENTES PEQUEÑOS,A14,0.0357
201809,CLIENTES PEQUEÑOS,A15,0.3787
201809,CLIENTES PEQUEÑOS,A16,0.2898
201809,CLIENTES PEQUEÑOS,A17,0.267
201809,CLIENTES PEQUEÑOS,A18,0.1729
201809,CLIENTES PEQUEÑOS,A19,0.1438
201809,CLIENTES PEQUEÑOS,A20,0.2319
201809,CLIENTES PEQUEÑOS,A21,0.2042
201809,CLIENTES PEQUEÑOS,A22,0.2114
201809,CLIENTES PEQUEÑOS,A23,0.2948
201810,CLIENTES GRANDES,A1,0.3431
201810,CLIENTES GRANDES,A2,0.3516
201810,CLIENTES GRANDES,A3,0.2909
201810,CLIENTES GRANDES,A4,0.3883
201810,CLIENTES GRANDES,A5,0.2587
201810,CLIENTES GRANDES,A6,0.2452
201810,CLIENTES GRANDES,A7,0.2747
201810,CLIENTES GRANDES,A8,0.4259
201810,CLIENTES GRANDES,A9,0.1908
201810,CLIENTES GRANDES,A10,0.3171
201810,CLIENTES GRANDES,A11,0.6596
201810,CLIENTES GRANDES,A12,0.2112
201810,CLIENTES GRANDES,A13,0.2149
201810,CLIENTES GRANDES,A14,0.4396
201810,CLIENTES GRANDES,A15,0.3289
201810,CLIENTES GRANDES,A16,0.2858
201810,CLIENTES GRANDES,A17,0.2882
201810,CLIENTES GRANDES,A18,0.2142
201810,CLIENTES GRANDES,A19,0.306
201810,CLIENTES GRANDES,A20,0.3336
201810,CLIENTES GRANDES,A21,0.2802
201810,CLIENTES GRANDES,A22,0.2737
201810,CLIENTES GRANDES,A23,0.2909
201810,CLIENTES GRANDES,A24,0.3978
201810,CLIENTES PEQUEÑOS,A1,0.3431
201810,CLIENTES PEQUEÑOS,A2,0.3516
201810,CLIENTES PEQUEÑOS,A3,0.2909
201810,CLIENTES PEQUEÑOS,A4,0.3883
201810,CLIENTES PEQUEÑOS,A5,0.2587
201810,CLIENTES PEQUEÑOS,A6,0.2452
201810,CLIENTES PEQUEÑOS,A7,0.2747
201810,CLIENTES PEQUEÑOS,A8,0.4259
201810,CLIENTES PEQUEÑOS,A9,0.1908
201810,CLIENTES PEQUEÑOS,A10,0.3171
201810,CLIENTES PEQUEÑOS,A11,0.6596
201810,CLIENTES PEQUEÑOS,A14,0.4396
201810,CLIENTES PEQUEÑOS,A15,0.3289
201810,CLIENTES PEQUEÑOS,A16,0.2858
201810,CLIENTES PEQUEÑOS,A17,0.2882
201810,CLIENTES PEQUEÑOS,A18,0.2142
201810,CLIENTES PEQUEÑOS,A19,0.306
201810,CLIENTES PEQUEÑOS,A20,0.3336
201810,CLIENTES PEQUEÑOS,A21,0.2802
201810,CLIENTES PEQUEÑOS,A22,0.2737
201810,CLIENTES PEQUEÑOS,A23,0.2909
201811,CLIENTES GRANDES,A1,0.3817
201811,CLIENTES GRANDES,A2,0.2723
201811,CLIENTES GRANDES,A3,0.2757
201811,CLIENTES GRANDES,A4,0.3349
201811,CLIENTES GRANDES,A5,0.2461
201811,CLIENTES GRANDES,A6,0.2147
201811,CLIENTES GRANDES,A7,0.2169
201811,CLIENTES GRANDES,A8,0.3359
201811,CLIENTES GRANDES,A9,0.1675
201811,CLIENTES GRANDES,A10,0.319
201811,CLIENTES GRANDES,A11,0.3194
201811,CLIENTES GRANDES,A12,0.1992
201811,CLIENTES GRANDES,A13,0.1975
201811,CLIENTES GRANDES,A14,0.2742
201811,CLIENTES GRANDES,A15,0.3577
201811,CLIENTES GRANDES,A16,0.2708
201811,CLIENTES GRANDES,A17,0.2548
201811,CLIENTES GRANDES,A18,0.1818
201811,CLIENTES GRANDES,A19,0.2327
201811,CLIENTES GRANDES,A20,0.2525
201811,CLIENTES GRANDES,A21,0.2501
201811,CLIENTES GRANDES,A22,0.2323
201811,CLIENTES GRANDES,A23,0.2559
201811,CLIENTES GRANDES,A24,0.3464
201811,CLIENTES PEQUEÑOS,A1,0.3817
201811,CLIENTES PEQUEÑOS,A2,0.2723
201811,CLIENTES PEQUEÑOS,A3,0.2757
201811,CLIENTES PEQUEÑOS,A4,0.3349
201811,CLIENTES PEQUEÑOS,A5,0.2461
201811,CLIENTES PEQUEÑOS,A6,0.2147
201811,CLIENTES PEQUEÑOS,A7,0.2169
201811,CLIENTES PEQUEÑOS,A8,0.3359
201811,CLIENTES PEQUEÑOS,A9,0.1675
201811,CLIENTES PEQUEÑOS,A10,0.319
201811,CLIENTES PEQUEÑOS,A11,0.3194
201811,CLIENTES PEQUEÑOS,A14,0.2742
201811,CLIENTES PEQUEÑOS,A15,0.3577
201811,CLIENTES PEQUEÑOS,A16,0.2708
201811,CLIENTES PEQUEÑOS,A17,0.2548
201811,CLIENTES PEQUEÑOS,A18,0.1818
201811,CLIENTES PEQUEÑOS,A19,0.2327
201811,CLIENTES PEQUEÑOS,A20,0.2525
201811,CLIENTES PEQUEÑOS,A21,0.2501
201811,CLIENTES PEQUEÑOS,A22,0.2323
201811,CLIENTES PEQUEÑOS,A23,0.2559
201812,CLIENTES GRANDES,A1,0.4147
201812,CLIENTES GRANDES,A2,0.3144
201812,CLIENTES GRANDES,A3,0.29
201812,CLIENTES GRANDES,A4,0.3404
201812,CLIENTES GRANDES,A5,0.2632
201812,CLIENTES GRANDES,A6,0.2333
201812,CLIENTES GRANDES,A7,0.2895
201812,CLIENTES GRANDES,A8,0.4075
201812,CLIENTES GRANDES,A9,0.173
201812,CLIENTES GRANDES,A10,0.3281
201812,CLIENTES GRANDES,A11,0.5283
201812,CLIENTES GRANDES,A12,0.2056
201812,CLIENTES GRANDES,A13,0.2117
201812,CLIENTES GRANDES,A14,0.3467
201812,CLIENTES GRANDES,A15,0.4244
201812,CLIENTES GRANDES,A16,0.3107
201812,CLIENTES GRANDES,A17,0.2815
201812,CLIENTES GRANDES,A18,0.1926
201812,CLIENTES GRANDES,A19,0.2832
201812,CLIENTES GRANDES,A20,0.3041
201812,CLIENTES GRANDES,A21,0.249
201812,CLIENTES GRANDES,A22,0.2297
201812,CLIENTES GRANDES,A23,0.171
201812,CLIENTES GRANDES,A24,0.383
201812,CLIENTES PEQUEÑOS,A1,0.4147
201812,CLIENTES PEQUEÑOS,A2,0.3144
201812,CLIENTES PEQUEÑOS,A3,0.29
201812,CLIENTES PEQUEÑOS,A4,0.3404
201812,CLIENTES PEQUEÑOS,A5,0.2632
201812,CLIENTES PEQUEÑOS,A6,0.2333
201812,CLIENTES PEQUEÑOS,A7,0.2895
201812,CLIENTES PEQUEÑOS,A8,0.4075
201812,CLIENTES PEQUEÑOS,A9,0.173
201812,CLIENTES PEQUEÑOS,A10,0.3281
201812,CLIENTES PEQUEÑOS,A11,0.5283
201812,CLIENTES PEQUEÑOS,A14,0.3467
