MES/AÑO,TIPO CLIENTES,PRODUCTO,VENTAS (TON)
201809,CLIENTES GRANDES,A21,82.091232
201809,CLIENTES GRANDES,A22,10.1007
201809,CLIENTES GRANDES,A23,84.956256
201809,CLIENTES GRANDES,A24,14.364
201809,CLIENTES PEQUEÑOS,A1,44.68772
201809,CLIENTES PEQUEÑOS,A2,41.088195
201809,CLIENTES PEQUEÑOS,A3,35.844
201809,CLIENTES PEQUEÑOS,A4,148.862232
201809,CLIENTES PEQUEÑOS,A5,19.695832
201809,CLIENTES PEQUEÑOS,A6,3.414528
201809,CLIENTES PEQUEÑOS,A7,2.212782
201809,CLIENTES PEQUEÑOS,A8,18.360384
201809,CLIENTES PEQUEÑOS,A9,96.665895
201809,CLIENTES PEQUEÑOS,A10,37.218888
201809,CLIENTES PEQUEÑOS,A11,6.391872
201809,CLIENTES PEQUEÑOS,A14,13.572139
201809,CLIENTES PEQUEÑOS,A15,2.510508
201809,CLIENTES PEQUEÑOS,A16,2.171736
201809,CLIENTES PEQUEÑOS,A17,5.79885
201809,CLIENTES PEQUEÑOS,A18,382.974814
201809,CLIENTES PEQUEÑOS,A19,96.968363
201809,CLIENTES PEQUEÑOS,A20,83.931984
201809,CLIENTES PEQUEÑOS,A21,116.231992
201809,CLIENTES PEQUEÑOS,A22,37.73025
201809,CLIENTES PEQUEÑOS,A23,127.151712
201810,CLIENTES GRANDES,A1,6.39968
201810,CLIENTES GRANDES,A2,23.372505
201810,CLIENTES GRANDES,A3,1.6842
201810,CLIENTES GRANDES,A4,23.5557
201810,CLIENTES GRANDES,A5,11.251682
201810,CLIENTES GRANDES,A6,1.698892
201810,CLIENTES GRANDES,A7,2.509494
201810,CLIENTES GRANDES,A8,14.759618
201810,CLIENTES GRANDES,A9,5.13418
201810,CLIENTES GRANDES,A10,10.41831
201810,CLIENTES GRANDES,A11,3.584736
201810,CLIENTES GRANDES,A12,3.634632
201810,CLIENTES GRANDES,A13,6.909591
201810,CLIENTES GRANDES,A14,8.112744
201810,CLIENTES GRANDES,A15,11.682363
201810,CLIENTES GRANDES,A16,2.357068
201810,CLIENTES GRANDES,A17,5.77045
201810,CLIENTES GRANDES,A18,10.093684
